t_s,j1,j2,j3,j4,j5,j6,operation
0.0,-0.0836,-1.1209,-2.0723,-1.7125,1.6049,0.0798,
0.0431,-0.0836,-1.1209,-2.0723,-1.7125,1.6049,0.0798,Pick
0.0817,-0.0836,-1.1209,-2.0723,-1.7125,1.6049,0.0798,Pick
0.1222,-0.0836,-1.1209,-2.0723,-1.7125,1.6049,0.0798,Pick
0.1625,-0.081727,-1.121406,-2.072227,-1.712876,1.603596,0.0795,Pick
0.2036,-0.077855,-1.122452,-2.072076,-1.713653,1.600901,0.078881,Pick
0.2439,-0.073984,-1.123497,-2.071925,-1.71443,1.598205,0.078262,Pick
0.2848,-0.070113,-1.124543,-2.071774,-1.715207,1.59551,0.077643,Pick
0.3252,-0.062642,-1.1268,-2.071973,-1.716718,1.590155,0.07617,Pick
0.366,-0.055052,-1.129097,-2.072185,-1.718253,1.584712,0.074668,Pick
0.4069,-0.047461,-1.131394,-2.072396,-1.719788,1.579269,0.073167,Pick
0.4473,-0.038502,-1.1342,-2.072899,-1.721641,1.572703,0.07126,Pick
0.4882,-0.027879,-1.137624,-2.073756,-1.72388,1.564775,0.068862,Pick
0.5281,-0.017256,-1.141048,-2.074613,-1.726119,1.556846,0.066464,Pick
0.5688,-0.006633,-1.144471,-2.07547,-1.728359,1.548918,0.064066,Pick
0.6099,0.006547,-1.148693,-2.076813,-1.731337,1.538833,0.060954,Pick
0.6504,0.019904,-1.152969,-2.078188,-1.734367,1.5286,0.057794,Pick
0.6907,0.03326,-1.157246,-2.079564,-1.737397,1.518366,0.054634,Pick
0.7324,0.047652,-1.161833,-2.080984,-1.740759,1.507299,0.051272,Pick
0.7735,0.063479,-1.166852,-2.082464,-1.744582,1.495076,0.04763,Pick
0.8118,0.079305,-1.17187,-2.083945,-1.748405,1.482854,0.043989,Pick
0.852,0.095132,-1.176888,-2.085425,-1.752228,1.470631,0.040348,Pick
0.8965,0.113094,-1.182548,-2.086816,-1.756724,1.45692,0.036348,Pick
0.937,0.131286,-1.188276,-2.088198,-1.761293,1.443048,0.032311,Pick
0.979,0.149477,-1.194005,-2.089579,-1.765861,1.429177,0.028273,Pick
1.0177,0.168482,-1.199998,-2.090855,-1.770642,1.414778,0.024103,Pick
1.0584,0.188777,-1.206412,-2.091962,-1.77576,1.399545,0.019723,Pick
1.0986,0.209071,-1.212825,-2.09307,-1.780879,1.384312,0.015342,Pick
1.139,0.229366,-1.219238,-2.094177,-1.785997,1.369079,0.010962,Pick
1.1795,0.250971,-1.22622,-2.095134,-1.791405,1.352928,0.006283,Pick
1.2199,0.27277,-1.233285,-2.096068,-1.796855,1.336642,0.001559,Pick
1.2603,0.294569,-1.24035,-2.097003,-1.802306,1.320355,-0.003164,Pick
1.3008,0.316684,-1.247723,-2.097821,-1.807814,1.303796,-0.007952,Pick
1.3411,0.339373,-1.255655,-2.098427,-1.813426,1.286741,-0.012859,Pick
1.3829,0.362062,-1.263587,-2.099032,-1.819038,1.269686,-0.017766,Pick
1.4221,0.384751,-1.271519,-2.099638,-1.82465,1.252631,-0.022673,Pick
1.4623,0.407504,-1.280373,-2.09996,-1.830269,1.23532,-0.027565,Pick
1.5027,0.430269,-1.289404,-2.100227,-1.83589,1.21796,-0.032454,Pick
1.5435,0.453034,-1.298434,-2.100493,-1.841512,1.2006,-0.037343,Pick
1.5835,0.47567,-1.307909,-2.100615,-1.847158,1.183239,-0.042157,Pick
1.6252,0.498038,-1.318315,-2.100429,-1.852857,1.165878,-0.046811,Pick
1.6645,0.520405,-1.328721,-2.100243,-1.858556,1.148516,-0.051465,Pick
1.705,0.542772,-1.339126,-2.100057,-1.864255,1.131155,-0.056119,Pick
1.7459,0.564466,-1.350762,-2.099431,-1.869977,1.11409,-0.06039,Pick
1.7865,0.585999,-1.362692,-2.098698,-1.875706,1.097097,-0.06457,Pick
1.8263,0.607531,-1.374623,-2.097966,-1.881434,1.080103,-0.068749,Pick
1.8668,0.628751,-1.387044,-2.097046,-1.887184,1.063294,-0.072737,Pick
1.9079,0.649205,-1.400665,-2.095667,-1.892987,1.046935,-0.076259,Pick
1.9489,0.66966,-1.414286,-2.094288,-1.89879,1.030576,-0.079781,Pick
1.9893,0.690115,-1.427907,-2.092909,-1.904594,1.014218,-0.083302,Pick
